time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,G_PinkieRingAb,G_ThumbIJ,G_ThumbMPJ,G_IndexPIJ,G_IndexMPJ,G_MiddlePIJ,G_MiddleMPJ,G_RingPIJ,G_RingMPJ,G_PinkieMPJ,G_PinkiePIJ,G_PalmArch,G_ThumbRotate,G_ThumbAb,G_MiddleIndexAb,G_RingMiddleAb,tactile1,tactile2,tactile3,tactile4,tactile5,tactile6,tactile7,tactile8,tactile9,tactile10,tactile11,tactile12,tactile13,tactile14,tactile15,tactile16,tactile17,tactile18,tactile19,tactile20,tactile21,tactile22,tactile23,tactile24,tactile25,tactile26,tactile27,tactile28,tactile29,tactile30,tactile31,tactile32,tactile33,tactile34,tactile35,tactile36,tactile37,tactile38,tactile39,tactile40,tactile41,tactile42,tactile43,tactile44,tactile45,tactile46,tactile47,tactile48,tactile49,tactile50,tactile51,tactile52,tactile53,tactile54,tactile55,tactile56,tactile57,tactile58,tactile59,tactile60,tactile61,tactile62,tactile63,tactile64
2023/02/15/00:36:02.697790,3240384,1676381762,684706362,,428.0,2032.0,197.0,766.0,1499.0,1303.0,2346.0,1266.0,1882.0,842.0,1875.0,2931.0,1760.0,3013.0,805.0,367.0,18.0,37.0,23.0,3.0,15.0,21.0,22.0,32.0,98.0,90.0,9.0,4.0,1.0,141.0,6.0,16.0,10.0,25.0,26.0,15.0,2.0,16.0,4.0,8.0,2.0,9.0,14.0,5.0,2.0,73.0,168.0,271.0,2.0,202.0,1.0,3.0,0.0,4078.0,77.0,75.0,799.0,14.0,133.0,17.0,16.0,194.0,40.0,65.0,113.0,104.0,18.0,3652.0,65.0,42.0,41.0,3.0,8.0,20.0,60.0,33.0,12.0,19.0,15.0,6.0
2023/02/15/00:36:02.697797,3240385,1676381762,685681011,,427.0,2026.0,198.0,767.0,1499.0,1301.0,2346.0,1266.0,1881.0,843.0,1876.0,2930.0,1761.0,3013.0,805.0,367.0,16.0,38.0,24.0,3.0,14.0,26.0,22.0,30.0,97.0,90.0,9.0,4.0,1.0,141.0,6.0,17.0,10.0,25.0,28.0,15.0,2.0,16.0,4.0,8.0,2.0,9.0,15.0,5.0,2.0,73.0,167.0,271.0,2.0,198.0,1.0,3.0,0.0,4079.0,78.0,74.0,790.0,14.0,133.0,19.0,16.0,196.0,40.0,67.0,113.0,102.0,18.0,3655.0,65.0,42.0,42.0,3.0,8.0,21.0,60.0,34.0,12.0,20.0,15.0,6.0
2023/02/15/00:36:02.697808,3240386,1676381762,686700910,,428.0,2028.0,197.0,766.0,1499.0,1301.0,2345.0,1265.0,1882.0,845.0,1875.0,2931.0,1761.0,3013.0,805.0,367.0,17.0,37.0,23.0,3.0,15.0,23.0,21.0,30.0,97.0,90.0,9.0,4.0,0.0,138.0,5.0,16.0,10.0,24.0,28.0,15.0,2.0,16.0,4.0,8.0,2.0,9.0,14.0,4.0,2.0,73.0,168.0,270.0,2.0,194.0,1.0,3.0,1.0,4079.0,77.0,74.0,786.0,13.0,133.0,17.0,17.0,194.0,40.0,67.0,112.0,102.0,18.0,3657.0,64.0,44.0,42.0,3.0,8.0,18.0,61.0,33.0,13.0,20.0,15.0,6.0
2023/02/15/00:36:02.697811,3240387,1676381762,687701363,,429.0,2031.0,197.0,767.0,1499.0,1300.0,2344.0,1265.0,1882.0,845.0,1876.0,2931.0,1761.0,3012.0,805.0,367.0,16.0,38.0,24.0,3.0,15.0,22.0,21.0,31.0,97.0,90.0,9.0,5.0,1.0,141.0,6.0,17.0,10.0,23.0,28.0,15.0,2.0,16.0,4.0,9.0,2.0,6.0,14.0,5.0,2.0,74.0,168.0,270.0,2.0,191.0,1.0,3.0,1.0,4078.0,75.0,71.0,778.0,13.0,133.0,19.0,16.0,194.0,40.0,65.0,112.0,100.0,18.0,3655.0,65.0,43.0,42.0,3.0,7.0,20.0,61.0,35.0,13.0,20.0,15.0,6.0
2023/02/15/00:36:02.697817,3240388,1676381762,688702834,,428.0,2028.0,199.0,767.0,1500.0,1299.0,2343.0,1264.0,1882.0,846.0,1875.0,2931.0,1762.0,3013.0,805.0,367.0,14.0,38.0,23.0,6.0,15.0,23.0,20.0,31.0,96.0,89.0,9.0,5.0,1.0,141.0,6.0,16.0,10.0,23.0,28.0,15.0,2.0,16.0,4.0,8.0,2.0,9.0,14.0,5.0,2.0,73.0,162.0,269.0,2.0,187.0,1.0,3.0,1.0,4079.0,78.0,73.0,777.0,14.0,133.0,19.0,15.0,192.0,40.0,65.0,111.0,100.0,17.0,3655.0,65.0,43.0,42.0,3.0,8.0,18.0,60.0,33.0,14.0,19.0,15.0,6.0
2023/02/15/00:36:02.697820,3240389,1676381762,689700995,,427.0,2031.0,198.0,767.0,1499.0,1298.0,2344.0,1263.0,1882.0,846.0,1876.0,2930.0,1762.0,3012.0,805.0,368.0,16.0,38.0,23.0,3.0,14.0,21.0,20.0,31.0,96.0,90.0,9.0,5.0,1.0,141.0,5.0,17.0,10.0,22.0,28.0,15.0,2.0,16.0,4.0,8.0,2.0,5.0,14.0,4.0,2.0,73.0,160.0,268.0,2.0,181.0,2.0,3.0,1.0,4079.0,77.0,73.0,770.0,11.0,133.0,17.0,14.0,191.0,40.0,65.0,111.0,98.0,18.0,3655.0,64.0,42.0,42.0,3.0,8.0,18.0,63.0,33.0,14.0,19.0,14.0,6.0
2023/02/15/00:36:02.697829,3240390,1676381762,690696219,,428.0,2030.0,200.0,767.0,1499.0,1298.0,2344.0,1262.0,1882.0,846.0,1875.0,2931.0,1763.0,3012.0,805.0,367.0,14.0,37.0,23.0,3.0,14.0,20.0,20.0,30.0,97.0,90.0,9.0,5.0,0.0,140.0,5.0,17.0,10.0,21.0,22.0,15.0,2.0,16.0,4.0,8.0,2.0,8.0,14.0,4.0,2.0,73.0,160.0,270.0,2.0,176.0,0.0,3.0,1.0,4079.0,77.0,74.0,764.0,10.0,133.0,17.0,16.0,191.0,40.0,64.0,111.0,95.0,18.0,3655.0,65.0,42.0,41.0,3.0,8.0,17.0,60.0,33.0,14.0,20.0,15.0,6.0
2023/02/15/00:36:02.697833,3240391,1676381762,691707367,,428.0,2027.0,200.0,767.0,1499.0,1296.0,2343.0,1262.0,1882.0,847.0,1876.0,2931.0,1764.0,3012.0,804.0,367.0,14.0,37.0,23.0,3.0,14.0,18.0,18.0,30.0,97.0,88.0,9.0,4.0,1.0,141.0,6.0,17.0,10.0,20.0,20.0,15.0,2.0,16.0,4.0,9.0,2.0,5.0,14.0,5.0,2.0,73.0,158.0,270.0,2.0,173.0,1.0,3.0,1.0,4079.0,77.0,72.0,759.0,10.0,133.0,16.0,14.0,191.0,40.0,64.0,111.0,94.0,17.0,3655.0,65.0,42.0,42.0,3.0,8.0,17.0,61.0,33.0,15.0,19.0,15.0,6.0
2023/02/15/00:36:02.697836,3240392,1676381762,692701952,,427.0,2034.0,199.0,767.0,1500.0,1296.0,2345.0,1262.0,1882.0,848.0,1875.0,2931.0,1764.0,3012.0,805.0,368.0,14.0,38.0,23.0,3.0,13.0,18.0,18.0,30.0,98.0,88.0,9.0,5.0,0.0,139.0,6.0,17.0,11.0,20.0,23.0,15.0,2.0,16.0,4.0,9.0,2.0,5.0,14.0,3.0,2.0,72.0,156.0,269.0,2.0,168.0,1.0,3.0,0.0,4079.0,77.0,70.0,751.0,10.0,132.0,17.0,16.0,189.0,38.0,64.0,111.0,94.0,18.0,3655.0,63.0,42.0,42.0,3.0,8.0,16.0,61.0,33.0,15.0,20.0,15.0,6.0
2023/02/15/00:36:02.697839,3240393,1676381762,693725937,,429.0,2033.0,199.0,767.0,1500.0,1296.0,2345.0,1261.0,1882.0,849.0,1876.0,2931.0,1765.0,3012.0,804.0,367.0,15.0,38.0,23.0,3.0,13.0,18.0,17.0,30.0,98.0,88.0,9.0,5.0,1.0,138.0,5.0,17.0,10.0,18.0,22.0,15.0,2.0,16.0,4.0,9.0,2.0,4.0,14.0,4.0,2.0,72.0,156.0,269.0,2.0,160.0,1.0,3.0,1.0,4077.0,76.0,71.0,750.0,10.0,132.0,16.0,15.0,190.0,40.0,64.0,110.0,92.0,16.0,3653.0,65.0,41.0,42.0,3.0,8.0,16.0,62.0,32.0,14.0,19.0,15.0,7.0
2023/02/15/00:36:02.697845,3240394,1676381762,694727615,,429.0,2033.0,199.0,768.0,1500.0,1295.0,2346.0,1260.0,1882.0,849.0,1875.0,2931.0,1766.0,3012.0,805.0,367.0,14.0,38.0,23.0,3.0,14.0,18.0,17.0,30.0,98.0,87.0,9.0,4.0,1.0,139.0,6.0,17.0,10.0,18.0,22.0,15.0,2.0,16.0,4.0,9.0,2.0,9.0,16.0,6.0,2.0,73.0,154.0,269.0,2.0,156.0,1.0,3.0,0.0,4078.0,78.0,71.0,741.0,10.0,132.0,17.0,14.0,190.0,40.0,65.0,111.0,90.0,18.0,3655.0,65.0,38.0,42.0,3.0,8.0,15.0,61.0,32.0,14.0,19.0,14.0,6.0
2023/02/15/00:36:02.697850,3240395,1676381762,695731691,,428.0,2046.0,198.0,768.0,1500.0,1294.0,2345.0,1259.0,1882.0,850.0,1876.0,2931.0,1765.0,3011.0,805.0,367.0,14.0,38.0,23.0,3.0,13.0,18.0,17.0,30.0,98.0,88.0,9.0,5.0,1.0,137.0,5.0,17.0,10.0,17.0,21.0,15.0,2.0,16.0,5.0,8.0,2.0,7.0,14.0,4.0,2.0,73.0,152.0,269.0,2.0,152.0,1.0,3.0,1.0,4080.0,78.0,72.0,734.0,9.0,133.0,17.0,14.0,191.0,40.0,65.0,109.0,87.0,18.0,3656.0,65.0,38.0,42.0,3.0,8.0,13.0,60.0,32.0,13.0,19.0,15.0,6.0
2023/02/15/00:36:02.697852,3240396,1676381762,696697125,,428.0,2038.0,198.0,769.0,1499.0,1293.0,2343.0,1259.0,1882.0,850.0,1875.0,2931.0,1766.0,3011.0,805.0,368.0,15.0,38.0,23.0,3.0,12.0,17.0,18.0,30.0,97.0,89.0,9.0,5.0,1.0,139.0,5.0,16.0,10.0,17.0,22.0,15.0,2.0,17.0,5.0,9.0,2.0,5.0,14.0,4.0,2.0,74.0,151.0,269.0,2.0,148.0,1.0,3.0,1.0,4079.0,77.0,71.0,726.0,10.0,132.0,18.0,14.0,188.0,39.0,64.0,108.0,84.0,17.0,3655.0,65.0,37.0,42.0,3.0,8.0,14.0,61.0,32.0,14.0,20.0,15.0,6.0
2023/02/15/00:36:02.697866,3240397,1676381762,697701937,,429.0,2030.0,198.0,769.0,1500.0,1293.0,2343.0,1258.0,1882.0,852.0,1876.0,2931.0,1767.0,3011.0,805.0,368.0,15.0,38.0,23.0,3.0,12.0,16.0,18.0,30.0,98.0,87.0,9.0,5.0,1.0,140.0,5.0,17.0,10.0,17.0,22.0,15.0,2.0,16.0,5.0,9.0,2.0,5.0,14.0,4.0,2.0,73.0,150.0,270.0,2.0,146.0,1.0,3.0,1.0,4079.0,77.0,71.0,720.0,10.0,132.0,17.0,14.0,188.0,40.0,65.0,108.0,84.0,18.0,3655.0,64.0,39.0,42.0,3.0,8.0,14.0,61.0,33.0,14.0,19.0,15.0,6.0
2023/02/15/00:36:02.698749,3240398,1676381762,698706813,,428.0,2029.0,200.0,769.0,1500.0,1291.0,2341.0,1257.0,1882.0,852.0,1876.0,2931.0,1767.0,3011.0,805.0,368.0,13.0,38.0,23.0,3.0,11.0,15.0,17.0,31.0,98.0,86.0,9.0,5.0,1.0,138.0,5.0,17.0,10.0,16.0,23.0,15.0,2.0,16.0,4.0,8.0,2.0,5.0,14.0,5.0,2.0,74.0,150.0,269.0,2.0,140.0,1.0,3.0,1.0,4079.0,77.0,70.0,719.0,10.0,132.0,17.0,14.0,188.0,39.0,64.0,107.0,82.0,17.0,3655.0,65.0,38.0,43.0,3.0,8.0,14.0,61.0,32.0,15.0,19.0,15.0,6.0
2023/02/15/00:36:02.715775,3240399,1676381762,699685624,,428.0,2029.0,200.0,770.0,1500.0,1291.0,2346.0,1256.0,1882.0,852.0,1875.0,2931.0,1768.0,3010.0,805.0,368.0,14.0,38.0,23.0,3.0,11.0,11.0,17.0,30.0,98.0,87.0,9.0,4.0,1.0,136.0,5.0,17.0,10.0,16.0,21.0,15.0,2.0,16.0,5.0,8.0,2.0,5.0,14.0,4.0,2.0,74.0,148.0,269.0,2.0,136.0,1.0,3.0,1.0,4078.0,76.0,70.0,714.0,10.0,132.0,16.0,15.0,189.0,38.0,64.0,107.0,79.0,17.0,3655.0,64.0,37.0,42.0,3.0,9.0,13.0,61.0,32.0,15.0,20.0,15.0,5.0
2023/02/15/00:36:02.715786,3240400,1676381762,700695105,,428.0,2030.0,200.0,770.0,1501.0,1291.0,2343.0,1255.0,1881.0,853.0,1876.0,2931.0,1769.0,3011.0,805.0,367.0,14.0,38.0,23.0,3.0,11.0,12.0,17.0,31.0,99.0,86.0,9.0,6.0,1.0,137.0,5.0,16.0,10.0,14.0,21.0,15.0,2.0,16.0,4.0,8.0,2.0,5.0,13.0,4.0,2.0,74.0,148.0,269.0,2.0,132.0,1.0,3.0,1.0,4079.0,77.0,70.0,709.0,9.0,132.0,16.0,14.0,188.0,40.0,64.0,105.0,78.0,18.0,3654.0,65.0,37.0,42.0,3.0,8.0,13.0,60.0,32.0,14.0,20.0,15.0,5.0
2023/02/15/00:36:02.715792,3240401,1676381762,701700401,,428.0,2028.0,201.0,770.0,1500.0,1290.0,2343.0,1254.0,1882.0,853.0,1876.0,2931.0,1770.0,3010.0,805.0,367.0,13.0,38.0,23.0,3.0,10.0,12.0,16.0,29.0,98.0,84.0,9.0,5.0,2.0,137.0,5.0,16.0,10.0,13.0,20.0,14.0,2.0,14.0,4.0,8.0,2.0,8.0,14.0,4.0,2.0,72.0,148.0,268.0,2.0,128.0,1.0,3.0,1.0,4077.0,76.0,68.0,704.0,8.0,132.0,17.0,14.0,188.0,40.0,64.0,105.0,79.0,17.0,3655.0,66.0,37.0,41.0,3.0,8.0,11.0,60.0,32.0,14.0,19.0,14.0,6.0
2023/02/15/00:36:02.715796,3240402,1676381762,702700052,,428.0,2032.0,200.0,770.0,1500.0,1289.0,2342.0,1254.0,1882.0,854.0,1876.0,2931.0,1770.0,3010.0,806.0,367.0,14.0,38.0,23.0,3.0,9.0,11.0,16.0,30.0,99.0,82.0,10.0,5.0,1.0,136.0,6.0,16.0,11.0,12.0,22.0,15.0,2.0,14.0,4.0,8.0,2.0,8.0,14.0,4.0,2.0,73.0,145.0,268.0,2.0,122.0,1.0,3.0,1.0,4079.0,76.0,70.0,698.0,9.0,132.0,19.0,14.0,188.0,40.0,65.0,105.0,77.0,17.0,3654.0,65.0,37.0,42.0,3.0,8.0,12.0,61.0,32.0,15.0,19.0,15.0,5.0
2023/02/15/00:36:02.715800,3240403,1676381762,703700395,,428.0,2029.0,200.0,771.0,1500.0,1288.0,2343.0,1253.0,1881.0,855.0,1876.0,2931.0,1770.0,3010.0,805.0,368.0,14.0,38.0,23.0,3.0,10.0,11.0,16.0,30.0,98.0,83.0,9.0,5.0,1.0,138.0,5.0,16.0,11.0,11.0,20.0,14.0,2.0,14.0,4.0,8.0,2.0,4.0,13.0,3.0,2.0,74.0,144.0,267.0,2.0,117.0,1.0,3.0,1.0,4079.0,77.0,70.0,693.0,10.0,132.0,19.0,14.0,187.0,40.0,65.0,105.0,75.0,18.0,3654.0,65.0,36.0,42.0,3.0,8.0,13.0,61.0,32.0,15.0,19.0,15.0,5.0
2023/02/15/00:36:02.715804,3240404,1676381762,704695628,,428.0,2031.0,200.0,771.0,1501.0,1287.0,2343.0,1252.0,1882.0,856.0,1876.0,2931.0,1771.0,3009.0,805.0,368.0,14.0,38.0,23.0,3.0,9.0,12.0,15.0,31.0,99.0,82.0,10.0,5.0,2.0,138.0,6.0,16.0,11.0,11.0,20.0,14.0,2.0,14.0,4.0,8.0,2.0,8.0,14.0,4.0,2.0,74.0,144.0,267.0,2.0,111.0,1.0,3.0,1.0,4078.0,77.0,67.0,684.0,9.0,132.0,19.0,14.0,188.0,41.0,64.0,105.0,74.0,18.0,3654.0,65.0,36.0,42.0,3.0,8.0,13.0,60.0,32.0,15.0,19.0,15.0,6.0
2023/02/15/00:36:02.715809,3240405,1676381762,705703497,,428.0,2031.0,202.0,771.0,1500.0,1287.0,2342.0,1252.0,1883.0,857.0,1876.0,2931.0,1772.0,3009.0,805.0,368.0,13.0,38.0,23.0,3.0,10.0,11.0,15.0,31.0,98.0,81.0,10.0,4.0,1.0,138.0,6.0,16.0,11.0,10.0,20.0,15.0,2.0,15.0,4.0,8.0,2.0,5.0,14.0,4.0,2.0,74.0,142.0,268.0,2.0,104.0,0.0,2.0,1.0,4079.0,77.0,70.0,680.0,8.0,132.0,17.0,14.0,188.0,40.0,64.0,103.0,73.0,18.0,3655.0,66.0,36.0,42.0,3.0,7.0,11.0,61.0,32.0,15.0,19.0,15.0,5.0
2023/02/15/00:36:02.715815,3240406,1676381762,706704980,,428.0,2029.0,201.0,772.0,1501.0,1285.0,2341.0,1250.0,1882.0,857.0,1876.0,2931.0,1773.0,3009.0,806.0,368.0,14.0,38.0,23.0,3.0,9.0,10.0,14.0,32.0,99.0,81.0,10.0,5.0,1.0,137.0,6.0,16.0,10.0,10.0,21.0,14.0,2.0,16.0,5.0,8.0,2.0,8.0,14.0,4.0,2.0,73.0,138.0,269.0,2.0,96.0,1.0,3.0,1.0,4079.0,77.0,69.0,675.0,9.0,132.0,19.0,13.0,189.0,40.0,64.0,104.0,72.0,18.0,3655.0,67.0,37.0,42.0,3.0,8.0,12.0,61.0,33.0,14.0,21.0,14.0,6.0
2023/02/15/00:36:02.715819,3240407,1676381762,707700312,,428.0,2036.0,202.0,772.0,1501.0,1285.0,2341.0,1250.0,1882.0,858.0,1876.0,2931.0,1773.0,3009.0,806.0,369.0,13.0,38.0,23.0,3.0,9.0,11.0,14.0,32.0,99.0,79.0,10.0,5.0,2.0,135.0,5.0,17.0,10.0,10.0,21.0,15.0,2.0,14.0,4.0,8.0,2.0,8.0,14.0,4.0,2.0,75.0,136.0,269.0,2.0,91.0,1.0,3.0,1.0,4079.0,76.0,70.0,669.0,8.0,132.0,19.0,13.0,188.0,40.0,64.0,104.0,68.0,18.0,3655.0,66.0,36.0,41.0,3.0,8.0,12.0,61.0,33.0,14.0,19.0,15.0,5.0
2023/02/15/00:36:02.715822,3240408,1676381762,708709995,,429.0,2029.0,202.0,772.0,1501.0,1284.0,2342.0,1249.0,1882.0,860.0,1876.0,2931.0,1773.0,3009.0,805.0,368.0,13.0,37.0,23.0,3.0,9.0,9.0,14.0,31.0,98.0,80.0,9.0,5.0,2.0,136.0,6.0,17.0,11.0,10.0,20.0,15.0,2.0,14.0,4.0,9.0,2.0,6.0,14.0,6.0,2.0,73.0,136.0,269.0,2.0,85.0,1.0,3.0,1.0,4080.0,77.0,70.0,666.0,10.0,132.0,19.0,13.0,188.0,40.0,66.0,103.0,66.0,18.0,3655.0,66.0,34.0,42.0,3.0,8.0,11.0,60.0,32.0,14.0,20.0,15.0,6.0
2023/02/15/00:36:02.715828,3240409,1676381762,709712116,,429.0,2032.0,202.0,772.0,1501.0,1284.0,2345.0,1247.0,1882.0,860.0,1876.0,2931.0,1773.0,3009.0,806.0,368.0,13.0,38.0,24.0,3.0,10.0,9.0,14.0,32.0,100.0,78.0,10.0,5.0,1.0,134.0,6.0,17.0,10.0,10.0,20.0,15.0,2.0,16.0,4.0,8.0,2.0,5.0,14.0,4.0,2.0,73.0,133.0,269.0,2.0,82.0,0.0,3.0,1.0,4079.0,77.0,70.0,663.0,9.0,133.0,19.0,14.0,187.0,40.0,67.0,101.0,64.0,17.0,3655.0,64.0,34.0,42.0,3.0,8.0,12.0,60.0,32.0,13.0,20.0,15.0,6.0
2023/02/15/00:36:02.715832,3240410,1676381762,710702378,,429.0,2033.0,202.0,773.0,1501.0,1284.0,2342.0,1247.0,1882.0,860.0,1876.0,2931.0,1776.0,3008.0,806.0,367.0,13.0,37.0,22.0,3.0,10.0,9.0,15.0,31.0,100.0,78.0,10.0,5.0,1.0,136.0,6.0,17.0,11.0,10.0,20.0,15.0,2.0,14.0,4.0,8.0,2.0,6.0,13.0,4.0,2.0,73.0,126.0,268.0,2.0,77.0,1.0,3.0,1.0,4077.0,77.0,69.0,657.0,9.0,132.0,19.0,12.0,188.0,40.0,65.0,102.0,62.0,18.0,3655.0,66.0,34.0,43.0,3.0,8.0,11.0,60.0,33.0,14.0,20.0,14.0,6.0
2023/02/15/00:36:02.715840,3240411,1676381762,711700155,,429.0,2032.0,203.0,773.0,1502.0,1282.0,2343.0,1246.0,1882.0,862.0,1876.0,2931.0,1776.0,3009.0,806.0,368.0,13.0,38.0,23.0,3.0,10.0,10.0,14.0,30.0,99.0,78.0,9.0,5.0,2.0,133.0,6.0,17.0,11.0,9.0,21.0,15.0,2.0,14.0,4.0,8.0,2.0,6.0,13.0,4.0,2.0,73.0,130.0,269.0,2.0,69.0,1.0,3.0,1.0,4079.0,77.0,70.0,658.0,9.0,132.0,20.0,14.0,186.0,40.0,67.0,101.0,61.0,18.0,3655.0,64.0,34.0,42.0,3.0,8.0,11.0,60.0,34.0,14.0,20.0,15.0,6.0
2023/02/15/00:36:02.715842,3240412,1676381762,712701796,,429.0,2032.0,205.0,773.0,1503.0,1282.0,2343.0,1245.0,1882.0,862.0,1876.0,2931.0,1776.0,3008.0,807.0,367.0,13.0,38.0,23.0,3.0,10.0,10.0,15.0,31.0,100.0,75.0,9.0,4.0,2.0,135.0,5.0,17.0,11.0,9.0,20.0,15.0,2.0,13.0,4.0,8.0,2.0,8.0,14.0,4.0,2.0,73.0,129.0,269.0,2.0,66.0,1.0,3.0,1.0,4079.0,77.0,72.0,654.0,8.0,132.0,19.0,10.0,188.0,38.0,67.0,101.0,60.0,17.0,3654.0,65.0,33.0,42.0,2.0,8.0,11.0,59.0,33.0,14.0,21.0,15.0,6.0
2023/02/15/00:36:02.715851,3240413,1676381762,713704050,,428.0,2033.0,205.0,773.0,1502.0,1281.0,2344.0,1244.0,1881.0,863.0,1876.0,2931.0,1778.0,3008.0,806.0,368.0,14.0,38.0,24.0,3.0,10.0,10.0,14.0,32.0,101.0,73.0,10.0,5.0,2.0,135.0,5.0,17.0,11.0,8.0,20.0,15.0,2.0,14.0,4.0,9.0,2.0,4.0,14.0,4.0,2.0,72.0,127.0,269.0,2.0,58.0,1.0,3.0,1.0,4079.0,78.0,70.0,650.0,8.0,132.0,19.0,14.0,189.0,41.0,67.0,100.0,56.0,17.0,3655.0,66.0,33.0,42.0,3.0,8.0,11.0,60.0,34.0,14.0,20.0,15.0,6.0
2023/02/15/00:36:02.715855,3240414,1676381762,714716973,,429.0,2032.0,205.0,773.0,1502.0,1281.0,2343.0,1242.0,1882.0,863.0,1876.0,2931.0,1778.0,3008.0,806.0,368.0,12.0,38.0,24.0,3.0,10.0,9.0,15.0,33.0,102.0,74.0,9.0,6.0,1.0,135.0,6.0,14.0,12.0,9.0,20.0,15.0,2.0,13.0,4.0,11.0,2.0,2.0,14.0,4.0,2.0,72.0,124.0,269.0,2.0,55.0,1.0,3.0,1.0,4079.0,78.0,73.0,650.0,9.0,132.0,18.0,12.0,189.0,40.0,67.0,100.0,54.0,17.0,3655.0,65.0,32.0,42.0,3.0,9.0,10.0,58.0,34.0,14.0,20.0,15.0,6.0
2023/02/15/00:36:02.715860,3240415,1676381762,715702875,,429.0,2034.0,204.0,773.0,1502.0,1281.0,2344.0,1242.0,1881.0,865.0,1876.0,2931.0,1779.0,3008.0,807.0,367.0,13.0,38.0,24.0,3.0,11.0,9.0,14.0,31.0,102.0,72.0,9.0,5.0,0.0,133.0,6.0,16.0,11.0,10.0,20.0,17.0,2.0,14.0,4.0,10.0,2.0,4.0,14.0,4.0,2.0,73.0,124.0,269.0,2.0,47.0,1.0,3.0,2.0,4079.0,78.0,72.0,648.0,8.0,132.0,17.0,12.0,188.0,40.0,67.0,99.0,55.0,17.0,3655.0,65.0,33.0,42.0,3.0,8.0,10.0,57.0,34.0,14.0,20.0,15.0,6.0
2023/02/15/00:36:02.716761,3240416,1676381762,716694047,,429.0,2034.0,205.0,774.0,1502.0,1279.0,2342.0,1241.0,1882.0,865.0,1876.0,2931.0,1780.0,3008.0,807.0,367.0,14.0,38.0,24.0,3.0,10.0,9.0,15.0,30.0,102.0,70.0,10.0,5.0,2.0,132.0,6.0,17.0,12.0,10.0,20.0,15.0,2.0,14.0,4.0,10.0,2.0,4.0,14.0,4.0,2.0,72.0,124.0,268.0,2.0,45.0,1.0,3.0,1.0,4079.0,78.0,72.0,645.0,8.0,132.0,19.0,13.0,188.0,40.0,66.0,98.0,52.0,17.0,3655.0,66.0,32.0,42.0,3.0,8.0,11.0,57.0,34.0,14.0,20.0,15.0,6.0
2023/02/15/00:36:02.734825,3240417,1676381762,717699704,,429.0,2033.0,206.0,773.0,1503.0,1278.0,2345.0,1240.0,1882.0,865.0,1876.0,2931.0,1780.0,3008.0,807.0,367.0,13.0,38.0,24.0,4.0,10.0,9.0,14.0,32.0,102.0,69.0,10.0,5.0,1.0,130.0,6.0,17.0,11.0,10.0,20.0,16.0,2.0,14.0,4.0,10.0,2.0,4.0,13.0,4.0,2.0,73.0,124.0,269.0,2.0,41.0,1.0,3.0,1.0,4079.0,77.0,70.0,640.0,9.0,132.0,19.0,13.0,188.0,40.0,67.0,97.0,50.0,16.0,3655.0,66.0,31.0,42.0,1.0,8.0,10.0,58.0,35.0,13.0,20.0,15.0,5.0
2023/02/15/00:36:02.734831,3240418,1676381762,718696866,,429.0,2034.0,206.0,774.0,1502.0,1278.0,2339.0,1239.0,1882.0,866.0,1876.0,2931.0,1781.0,3007.0,807.0,367.0,14.0,37.0,23.0,3.0,11.0,9.0,14.0,32.0,102.0,72.0,10.0,5.0,0.0,132.0,6.0,17.0,11.0,10.0,20.0,15.0,2.0,14.0,4.0,11.0,2.0,2.0,13.0,4.0,2.0,72.0,121.0,269.0,2.0,36.0,1.0,3.0,0.0,4079.0,77.0,72.0,639.0,9.0,132.0,19.0,13.0,188.0,39.0,67.0,97.0,48.0,16.0,3654.0,65.0,30.0,42.0,3.0,9.0,11.0,57.0,35.0,14.0,20.0,15.0,5.0
2023/02/15/00:36:02.734834,3240419,1676381762,719700356,,428.0,2031.0,206.0,774.0,1503.0,1278.0,2344.0,1238.0,1881.0,866.0,1877.0,2931.0,1781.0,3007.0,807.0,368.0,13.0,37.0,24.0,5.0,10.0,8.0,14.0,32.0,102.0,70.0,10.0,5.0,2.0,130.0,6.0,17.0,13.0,10.0,20.0,15.0,2.0,13.0,4.0,10.0,2.0,2.0,14.0,4.0,2.0,72.0,121.0,269.0,2.0,33.0,1.0,3.0,1.0,4079.0,77.0,70.0,638.0,8.0,131.0,19.0,13.0,187.0,40.0,67.0,97.0,45.0,17.0,3653.0,65.0,31.0,42.0,3.0,7.0,11.0,56.0,36.0,13.0,20.0,14.0,6.0
2023/02/15/00:36:02.734843,3240420,1676381762,720701128,,429.0,2034.0,208.0,774.0,1503.0,1277.0,2345.0,1237.0,1881.0,867.0,1877.0,2931.0,1782.0,3007.0,807.0,367.0,13.0,38.0,24.0,3.0,10.0,6.0,14.0,31.0,102.0,70.0,9.0,4.0,2.0,129.0,6.0,16.0,12.0,11.0,21.0,15.0,2.0,14.0,4.0,11.0,2.0,3.0,14.0,4.0,2.0,73.0,117.0,269.0,2.0,32.0,1.0,3.0,1.0,4079.0,78.0,72.0,635.0,8.0,132.0,19.0,13.0,186.0,40.0,67.0,94.0,44.0,18.0,3654.0,65.0,30.0,41.0,3.0,8.0,11.0,56.0,35.0,13.0,19.0,15.0,6.0
