time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,G_PinkieRingAb,G_ThumbIJ,G_ThumbMPJ,G_IndexPIJ,G_IndexMPJ,G_MiddlePIJ,G_MiddleMPJ,G_RingPIJ,G_RingMPJ,G_PinkieMPJ,G_PinkiePIJ,G_PalmArch,G_ThumbRotate,G_ThumbAb,G_MiddleIndexAb,G_RingMiddleAb,tactile1,tactile2,tactile3,tactile4,tactile5,tactile6,tactile7,tactile8,tactile9,tactile10,tactile11,tactile12,tactile13,tactile14,tactile15,tactile16,tactile17,tactile18,tactile19,tactile20,tactile21,tactile22,tactile23,tactile24,tactile25,tactile26,tactile27,tactile28,tactile29,tactile30,tactile31,tactile32,tactile33,tactile34,tactile35,tactile36,tactile37,tactile38,tactile39,tactile40,tactile41,tactile42,tactile43,tactile44,tactile45,tactile46,tactile47,tactile48,tactile49,tactile50,tactile51,tactile52,tactile53,tactile54,tactile55,tactile56,tactile57,tactile58,tactile59,tactile60,tactile61,tactile62,tactile63,tactile64
2023/02/15/00:36:02.019798,3239719,1676381762,19708933,,394.0,2030.0,269.0,898.0,1496.0,1321.0,2348.0,1239.0,1871.0,870.0,1860.0,2922.0,1821.0,3037.0,759.0,343.0,12.0,37.0,24.0,3.0,6.0,8.0,19.0,31.0,88.0,32.0,5.0,6.0,2.0,122.0,8.0,19.0,18.0,10.0,26.0,16.0,2.0,14.0,4.0,12.0,2.0,2.0,14.0,3.0,2.0,75.0,40.0,278.0,2.0,9.0,1.0,3.0,2.0,4078.0,71.0,71.0,503.0,10.0,137.0,22.0,25.0,200.0,33.0,73.0,40.0,13.0,16.0,3663.0,62.0,36.0,42.0,3.0,9.0,11.0,11.0,36.0,16.0,21.0,15.0,6.0
2023/02/15/00:36:02.020768,3239720,1676381762,20732919,,394.0,2026.0,269.0,898.0,1496.0,1321.0,2347.0,1239.0,1870.0,868.0,1860.0,2922.0,1821.0,3037.0,758.0,346.0,13.0,37.0,24.0,3.0,6.0,8.0,19.0,31.0,88.0,34.0,5.0,5.0,2.0,124.0,8.0,19.0,16.0,10.0,26.0,17.0,2.0,13.0,4.0,13.0,2.0,2.0,13.0,4.0,2.0,75.0,42.0,277.0,2.0,9.0,2.0,3.0,1.0,4079.0,71.0,70.0,508.0,9.0,136.0,21.0,25.0,200.0,32.0,74.0,40.0,13.0,16.0,3663.0,62.0,36.0,42.0,3.0,9.0,11.0,10.0,37.0,15.0,21.0,15.0,6.0
2023/02/15/00:36:02.021750,3239721,1676381762,21718973,,394.0,2029.0,269.0,896.0,1496.0,1321.0,2348.0,1238.0,1870.0,866.0,1860.0,2922.0,1821.0,3037.0,758.0,346.0,12.0,38.0,24.0,3.0,6.0,8.0,19.0,31.0,90.0,32.0,5.0,5.0,2.0,125.0,8.0,19.0,16.0,9.0,26.0,17.0,2.0,13.0,5.0,13.0,2.0,2.0,13.0,3.0,2.0,75.0,40.0,278.0,2.0,9.0,1.0,3.0,2.0,4079.0,71.0,70.0,506.0,8.0,136.0,21.0,26.0,200.0,32.0,73.0,39.0,14.0,16.0,3663.0,62.0,34.0,42.0,3.0,9.0,11.0,10.0,36.0,15.0,21.0,15.0,6.0
2023/02/15/00:36:02.022729,3239722,1676381762,22700562,,394.0,2027.0,270.0,897.0,1496.0,1320.0,2345.0,1238.0,1870.0,864.0,1860.0,2923.0,1821.0,3037.0,757.0,345.0,13.0,38.0,24.0,3.0,7.0,8.0,19.0,31.0,90.0,32.0,5.0,6.0,2.0,125.0,8.0,19.0,16.0,10.0,26.0,17.0,2.0,13.0,4.0,13.0,2.0,2.0,13.0,3.0,2.0,74.0,41.0,278.0,2.0,9.0,0.0,3.0,2.0,4079.0,71.0,72.0,511.0,9.0,137.0,22.0,25.0,200.0,32.0,74.0,40.0,14.0,16.0,3664.0,62.0,35.0,42.0,3.0,9.0,11.0,11.0,36.0,16.0,21.0,15.0,6.0
2023/02/15/00:36:02.023749,3239723,1676381762,23680996,,394.0,2028.0,270.0,897.0,1496.0,1320.0,2348.0,1238.0,1870.0,862.0,1860.0,2923.0,1822.0,3037.0,757.0,346.0,13.0,38.0,24.0,3.0,6.0,8.0,19.0,32.0,87.0,32.0,5.0,5.0,2.0,125.0,8.0,19.0,16.0,10.0,26.0,16.0,2.0,14.0,4.0,13.0,2.0,2.0,14.0,6.0,2.0,73.0,43.0,278.0,2.0,9.0,0.0,3.0,4.0,4078.0,72.0,73.0,516.0,9.0,138.0,22.0,25.0,201.0,32.0,73.0,40.0,13.0,15.0,3663.0,62.0,34.0,43.0,3.0,10.0,11.0,11.0,36.0,16.0,20.0,15.0,6.0
2023/02/15/00:36:02.024788,3239724,1676381762,24721586,,394.0,2033.0,270.0,897.0,1495.0,1320.0,2345.0,1238.0,1870.0,861.0,1860.0,2923.0,1821.0,3037.0,758.0,345.0,12.0,37.0,24.0,3.0,6.0,8.0,19.0,32.0,89.0,32.0,5.0,6.0,1.0,125.0,8.0,17.0,16.0,10.0,26.0,16.0,2.0,14.0,5.0,13.0,2.0,2.0,13.0,3.0,2.0,74.0,40.0,278.0,2.0,9.0,1.0,3.0,1.0,4079.0,71.0,70.0,518.0,9.0,138.0,22.0,25.0,201.0,32.0,74.0,41.0,14.0,16.0,3663.0,61.0,36.0,43.0,3.0,10.0,11.0,12.0,36.0,15.0,21.0,15.0,6.0
2023/02/15/00:36:02.042770,3239725,1676381762,25701665,,394.0,2028.0,270.0,897.0,1495.0,1320.0,2347.0,1238.0,1869.0,859.0,1860.0,2923.0,1822.0,3036.0,757.0,346.0,13.0,38.0,25.0,3.0,6.0,9.0,19.0,31.0,88.0,32.0,5.0,5.0,2.0,124.0,6.0,19.0,16.0,10.0,26.0,17.0,2.0,14.0,4.0,13.0,2.0,2.0,14.0,3.0,2.0,75.0,39.0,278.0,2.0,11.0,0.0,3.0,0.0,4079.0,71.0,70.0,523.0,9.0,138.0,22.0,25.0,201.0,32.0,74.0,40.0,14.0,16.0,3663.0,61.0,35.0,42.0,3.0,10.0,11.0,12.0,37.0,16.0,20.0,15.0,6.0
2023/02/15/00:36:02.042775,3239726,1676381762,26698812,,394.0,2027.0,270.0,897.0,1496.0,1320.0,2346.0,1238.0,1870.0,858.0,1860.0,2923.0,1822.0,3037.0,757.0,345.0,13.0,38.0,25.0,3.0,6.0,8.0,19.0,31.0,89.0,32.0,5.0,4.0,1.0,125.0,6.0,19.0,16.0,10.0,26.0,14.0,2.0,13.0,4.0,14.0,2.0,2.0,14.0,3.0,2.0,76.0,40.0,278.0,2.0,10.0,1.0,3.0,3.0,4078.0,72.0,71.0,530.0,8.0,138.0,20.0,25.0,201.0,32.0,73.0,40.0,14.0,16.0,3663.0,63.0,36.0,42.0,3.0,10.0,13.0,11.0,36.0,16.0,20.0,15.0,6.0
2023/02/15/00:36:02.042778,3239727,1676381762,27686053,,394.0,2031.0,272.0,896.0,1495.0,1320.0,2347.0,1238.0,1870.0,857.0,1859.0,2922.0,1821.0,3037.0,757.0,346.0,13.0,38.0,25.0,3.0,7.0,8.0,19.0,30.0,88.0,32.0,5.0,6.0,2.0,124.0,6.0,19.0,14.0,10.0,26.0,16.0,2.0,14.0,5.0,13.0,2.0,2.0,14.0,3.0,2.0,75.0,40.0,278.0,2.0,9.0,1.0,3.0,1.0,4078.0,71.0,70.0,535.0,9.0,138.0,21.0,25.0,202.0,32.0,73.0,41.0,14.0,16.0,3662.0,62.0,34.0,42.0,3.0,11.0,11.0,12.0,36.0,16.0,21.0,15.0,6.0
2023/02/15/00:36:02.042787,3239728,1676381762,28703716,,394.0,2021.0,272.0,896.0,1495.0,1320.0,2349.0,1238.0,1870.0,855.0,1860.0,2923.0,1821.0,3036.0,757.0,345.0,13.0,37.0,24.0,3.0,6.0,8.0,18.0,31.0,91.0,30.0,5.0,6.0,2.0,124.0,8.0,19.0,15.0,10.0,26.0,17.0,2.0,14.0,5.0,14.0,2.0,2.0,14.0,3.0,2.0,76.0,39.0,278.0,2.0,9.0,1.0,3.0,1.0,4079.0,71.0,71.0,536.0,8.0,138.0,21.0,25.0,201.0,32.0,75.0,40.0,14.0,16.0,3662.0,62.0,34.0,42.0,3.0,11.0,11.0,12.0,36.0,16.0,21.0,14.0,6.0
