time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,tactile1,tactile2,tactile3,tactile4,tactile5,tactile6,tactile7,tactile8,tactile9,tactile10,tactile11,tactile12,tactile13,tactile14,tactile15,tactile16,tactile17,tactile18,tactile19,tactile20,tactile21,tactile22,tactile23,tactile24,tactile25,tactile26,tactile27,tactile28,tactile29,tactile30,tactile31,tactile32,tactile33,tactile34,tactile35,tactile36,tactile37,tactile38,tactile39,tactile40,tactile41,tactile42,tactile43,tactile44,tactile45,tactile46,tactile47,tactile48,tactile49,tactile50,tactile51,tactile52,tactile53,tactile54,tactile55,tactile56,tactile57,tactile58,tactile59,tactile60,tactile61,tactile62,tactile63,tactile64
2023/02/15/00:36:02.019800,3239719,1676381762,19698510,,12.0, 37.0, 24.0, 3.0, 6.0, 8.0, 19.0, 31.0, 88.0, 32.0, 5.0, 6.0, 2.0, 122.0, 8.0, 19.0, 18.0, 10.0, 26.0, 16.0, 2.0, 14.0, 4.0, 12.0, 2.0, 2.0, 14.0, 3.0, 2.0, 75.0, 40.0, 278.0, 2.0, 9.0, 1.0, 3.0, 2.0, 4078.0, 71.0, 71.0, 503.0, 10.0, 137.0, 22.0, 25.0, 200.0, 33.0, 73.0, 40.0, 13.0, 16.0, 3663.0, 62.0, 36.0, 42.0, 3.0, 9.0, 11.0, 11.0, 36.0, 16.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.020725,3239720,1676381762,20663026,,13.0, 37.0, 24.0, 3.0, 6.0, 8.0, 19.0, 31.0, 88.0, 34.0, 5.0, 5.0, 2.0, 124.0, 8.0, 19.0, 16.0, 10.0, 26.0, 17.0, 2.0, 13.0, 4.0, 13.0, 2.0, 2.0, 13.0, 4.0, 2.0, 75.0, 42.0, 277.0, 2.0, 9.0, 2.0, 3.0, 1.0, 4079.0, 71.0, 70.0, 508.0, 9.0, 136.0, 21.0, 25.0, 200.0, 32.0, 74.0, 40.0, 13.0, 16.0, 3663.0, 62.0, 36.0, 42.0, 3.0, 9.0, 11.0, 10.0, 37.0, 15.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.021736,3239721,1676381762,21668974,,12.0, 38.0, 24.0, 3.0, 6.0, 8.0, 19.0, 31.0, 90.0, 32.0, 5.0, 5.0, 2.0, 125.0, 8.0, 19.0, 16.0, 9.0, 26.0, 17.0, 2.0, 13.0, 5.0, 13.0, 2.0, 2.0, 13.0, 3.0, 2.0, 75.0, 40.0, 278.0, 2.0, 9.0, 1.0, 3.0, 2.0, 4079.0, 71.0, 70.0, 506.0, 8.0, 136.0, 21.0, 26.0, 200.0, 32.0, 73.0, 39.0, 14.0, 16.0, 3663.0, 62.0, 34.0, 42.0, 3.0, 9.0, 11.0, 10.0, 36.0, 15.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.022703,3239722,1676381762,22660094,,13.0, 38.0, 24.0, 3.0, 7.0, 8.0, 19.0, 31.0, 90.0, 32.0, 5.0, 6.0, 2.0, 125.0, 8.0, 19.0, 16.0, 10.0, 26.0, 17.0, 2.0, 13.0, 4.0, 13.0, 2.0, 2.0, 13.0, 3.0, 2.0, 74.0, 41.0, 278.0, 2.0, 9.0, 0.0, 3.0, 2.0, 4079.0, 71.0, 72.0, 511.0, 9.0, 137.0, 22.0, 25.0, 200.0, 32.0, 74.0, 40.0, 14.0, 16.0, 3664.0, 62.0, 35.0, 42.0, 3.0, 9.0, 11.0, 11.0, 36.0, 16.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.023741,3239723,1676381762,23671878,,13.0, 38.0, 24.0, 3.0, 6.0, 8.0, 19.0, 32.0, 87.0, 32.0, 5.0, 5.0, 2.0, 125.0, 8.0, 19.0, 16.0, 10.0, 26.0, 16.0, 2.0, 14.0, 4.0, 13.0, 2.0, 2.0, 14.0, 6.0, 2.0, 73.0, 43.0, 278.0, 2.0, 9.0, 0.0, 3.0, 4.0, 4078.0, 72.0, 73.0, 516.0, 9.0, 138.0, 22.0, 25.0, 201.0, 32.0, 73.0, 40.0, 13.0, 15.0, 3663.0, 62.0, 34.0, 43.0, 3.0, 10.0, 11.0, 11.0, 36.0, 16.0, 20.0, 15.0, 6.0
2023/02/15/00:36:02.024787,3239724,1676381762,24660607,,12.0, 37.0, 24.0, 3.0, 6.0, 8.0, 19.0, 32.0, 89.0, 32.0, 5.0, 6.0, 1.0, 125.0, 8.0, 17.0, 16.0, 10.0, 26.0, 16.0, 2.0, 14.0, 5.0, 13.0, 2.0, 2.0, 13.0, 3.0, 2.0, 74.0, 40.0, 278.0, 2.0, 9.0, 1.0, 3.0, 1.0, 4079.0, 71.0, 70.0, 518.0, 9.0, 138.0, 22.0, 25.0, 201.0, 32.0, 74.0, 41.0, 14.0, 16.0, 3663.0, 61.0, 36.0, 43.0, 3.0, 10.0, 11.0, 12.0, 36.0, 15.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.025719,3239725,1676381762,25672386,,13.0, 38.0, 25.0, 3.0, 6.0, 9.0, 19.0, 31.0, 88.0, 32.0, 5.0, 5.0, 2.0, 124.0, 6.0, 19.0, 16.0, 10.0, 26.0, 17.0, 2.0, 14.0, 4.0, 13.0, 2.0, 2.0, 14.0, 3.0, 2.0, 75.0, 39.0, 278.0, 2.0, 11.0, 0.0, 3.0, 0.0, 4079.0, 71.0, 70.0, 523.0, 9.0, 138.0, 22.0, 25.0, 201.0, 32.0, 74.0, 40.0, 14.0, 16.0, 3663.0, 61.0, 35.0, 42.0, 3.0, 10.0, 11.0, 12.0, 37.0, 16.0, 20.0, 15.0, 6.0
2023/02/15/00:36:02.026719,3239726,1676381762,26666293,,13.0, 38.0, 25.0, 3.0, 6.0, 8.0, 19.0, 31.0, 89.0, 32.0, 5.0, 4.0, 1.0, 125.0, 6.0, 19.0, 16.0, 10.0, 26.0, 14.0, 2.0, 13.0, 4.0, 14.0, 2.0, 2.0, 14.0, 3.0, 2.0, 76.0, 40.0, 278.0, 2.0, 10.0, 1.0, 3.0, 3.0, 4078.0, 72.0, 71.0, 530.0, 8.0, 138.0, 20.0, 25.0, 201.0, 32.0, 73.0, 40.0, 14.0, 16.0, 3663.0, 63.0, 36.0, 42.0, 3.0, 10.0, 13.0, 11.0, 36.0, 16.0, 20.0, 15.0, 6.0
2023/02/15/00:36:02.027726,3239727,1676381762,27676703,,13.0, 38.0, 25.0, 3.0, 7.0, 8.0, 19.0, 30.0, 88.0, 32.0, 5.0, 6.0, 2.0, 124.0, 6.0, 19.0, 14.0, 10.0, 26.0, 16.0, 2.0, 14.0, 5.0, 13.0, 2.0, 2.0, 14.0, 3.0, 2.0, 75.0, 40.0, 278.0, 2.0, 9.0, 1.0, 3.0, 1.0, 4078.0, 71.0, 70.0, 535.0, 9.0, 138.0, 21.0, 25.0, 202.0, 32.0, 73.0, 41.0, 14.0, 16.0, 3662.0, 62.0, 34.0, 42.0, 3.0, 11.0, 11.0, 12.0, 36.0, 16.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.028721,3239728,1676381762,28671410,,13.0, 37.0, 24.0, 3.0, 6.0, 8.0, 18.0, 31.0, 91.0, 30.0, 5.0, 6.0, 2.0, 124.0, 8.0, 19.0, 15.0, 10.0, 26.0, 17.0, 2.0, 14.0, 5.0, 14.0, 2.0, 2.0, 14.0, 3.0, 2.0, 76.0, 39.0, 278.0, 2.0, 9.0, 1.0, 3.0, 1.0, 4079.0, 71.0, 71.0, 536.0, 8.0, 138.0, 21.0, 25.0, 201.0, 32.0, 75.0, 40.0, 14.0, 16.0, 3662.0, 62.0, 34.0, 42.0, 3.0, 11.0, 11.0, 12.0, 36.0, 16.0, 21.0, 14.0, 6.0
2023/02/15/00:36:02.029724,3239729,1676381762,29664763,,12.0, 37.0, 24.0, 3.0, 6.0, 9.0, 19.0, 31.0, 90.0, 31.0, 5.0, 5.0, 1.0, 124.0, 7.0, 20.0, 16.0, 10.0, 26.0, 17.0, 2.0, 13.0, 5.0, 14.0, 2.0, 2.0, 14.0, 3.0, 2.0, 76.0, 39.0, 275.0, 2.0, 9.0, 1.0, 3.0, 1.0, 4079.0, 71.0, 70.0, 542.0, 8.0, 138.0, 22.0, 26.0, 202.0, 32.0, 75.0, 39.0, 13.0, 15.0, 3661.0, 61.0, 36.0, 42.0, 3.0, 10.0, 11.0, 12.0, 36.0, 16.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.030720,3239730,1676381762,30671604,,12.0, 38.0, 24.0, 3.0, 6.0, 9.0, 19.0, 31.0, 89.0, 31.0, 5.0, 6.0, 2.0, 125.0, 8.0, 19.0, 15.0, 10.0, 26.0, 17.0, 2.0, 13.0, 5.0, 14.0, 2.0, 2.0, 11.0, 4.0, 2.0, 77.0, 41.0, 278.0, 2.0, 8.0, 1.0, 3.0, 1.0, 4078.0, 72.0, 71.0, 546.0, 8.0, 138.0, 21.0, 27.0, 203.0, 32.0, 73.0, 38.0, 14.0, 14.0, 3662.0, 61.0, 33.0, 43.0, 3.0, 10.0, 11.0, 13.0, 36.0, 16.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.031719,3239731,1676381762,31672498,,13.0, 37.0, 24.0, 3.0, 6.0, 8.0, 19.0, 29.0, 90.0, 32.0, 5.0, 5.0, 1.0, 125.0, 8.0, 21.0, 16.0, 10.0, 26.0, 17.0, 2.0, 14.0, 2.0, 12.0, 2.0, 2.0, 14.0, 6.0, 2.0, 75.0, 39.0, 278.0, 2.0, 8.0, 1.0, 3.0, 1.0, 4077.0, 72.0, 73.0, 548.0, 9.0, 138.0, 21.0, 26.0, 200.0, 33.0, 75.0, 40.0, 16.0, 16.0, 3662.0, 62.0, 35.0, 45.0, 3.0, 10.0, 12.0, 12.0, 36.0, 16.0, 21.0, 14.0, 6.0
2023/02/15/00:36:02.032703,3239732,1676381762,32662738,,13.0, 38.0, 24.0, 4.0, 7.0, 9.0, 21.0, 30.0, 90.0, 32.0, 5.0, 6.0, 2.0, 124.0, 8.0, 19.0, 16.0, 11.0, 26.0, 17.0, 2.0, 13.0, 4.0, 14.0, 2.0, 2.0, 14.0, 5.0, 2.0, 77.0, 40.0, 278.0, 2.0, 9.0, 1.0, 3.0, 1.0, 4079.0, 72.0, 72.0, 551.0, 9.0, 138.0, 21.0, 26.0, 202.0, 32.0, 75.0, 41.0, 14.0, 15.0, 3663.0, 60.0, 34.0, 42.0, 3.0, 10.0, 12.0, 13.0, 36.0, 16.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.033727,3239733,1676381762,33671492,,14.0, 37.0, 24.0, 4.0, 6.0, 9.0, 19.0, 30.0, 90.0, 31.0, 6.0, 6.0, 2.0, 125.0, 9.0, 19.0, 15.0, 10.0, 26.0, 17.0, 2.0, 14.0, 4.0, 15.0, 2.0, 2.0, 16.0, 3.0, 2.0, 76.0, 41.0, 278.0, 2.0, 9.0, 1.0, 3.0, 1.0, 4078.0, 71.0, 75.0, 556.0, 9.0, 138.0, 21.0, 26.0, 202.0, 33.0, 71.0, 41.0, 14.0, 14.0, 3662.0, 62.0, 34.0, 42.0, 3.0, 10.0, 11.0, 13.0, 36.0, 16.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.034832,3239734,1676381762,34725196,,12.0, 38.0, 25.0, 3.0, 6.0, 8.0, 19.0, 30.0, 90.0, 32.0, 6.0, 6.0, 2.0, 124.0, 7.0, 19.0, 15.0, 10.0, 28.0, 17.0, 2.0, 14.0, 4.0, 14.0, 2.0, 2.0, 14.0, 3.0, 2.0, 77.0, 40.0, 277.0, 2.0, 9.0, 1.0, 3.0, 1.0, 4078.0, 72.0, 76.0, 559.0, 9.0, 138.0, 21.0, 26.0, 202.0, 32.0, 75.0, 41.0, 14.0, 15.0, 3660.0, 60.0, 34.0, 42.0, 3.0, 10.0, 11.0, 13.0, 36.0, 16.0, 20.0, 15.0, 6.0
2023/02/15/00:36:02.035718,3239735,1676381762,35673817,,13.0, 38.0, 25.0, 3.0, 6.0, 9.0, 19.0, 30.0, 89.0, 31.0, 5.0, 6.0, 2.0, 124.0, 8.0, 19.0, 15.0, 10.0, 27.0, 16.0, 2.0, 14.0, 4.0, 14.0, 2.0, 2.0, 14.0, 3.0, 2.0, 77.0, 40.0, 277.0, 2.0, 8.0, 1.0, 3.0, 1.0, 4079.0, 72.0, 76.0, 560.0, 8.0, 138.0, 21.0, 28.0, 203.0, 32.0, 75.0, 41.0, 14.0, 15.0, 3661.0, 61.0, 34.0, 42.0, 3.0, 10.0, 11.0, 14.0, 36.0, 16.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.036708,3239736,1676381762,36662490,,13.0, 38.0, 25.0, 3.0, 6.0, 9.0, 19.0, 30.0, 88.0, 31.0, 5.0, 5.0, 1.0, 125.0, 8.0, 19.0, 16.0, 10.0, 26.0, 16.0, 2.0, 14.0, 5.0, 14.0, 2.0, 2.0, 14.0, 3.0, 2.0, 76.0, 39.0, 277.0, 2.0, 8.0, 1.0, 3.0, 1.0, 4079.0, 72.0, 76.0, 565.0, 9.0, 138.0, 21.0, 28.0, 203.0, 32.0, 75.0, 40.0, 14.0, 16.0, 3660.0, 61.0, 34.0, 42.0, 3.0, 10.0, 11.0, 13.0, 36.0, 16.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.037706,3239737,1676381762,37669855,,12.0, 37.0, 25.0, 3.0, 6.0, 9.0, 18.0, 30.0, 89.0, 32.0, 5.0, 6.0, 1.0, 124.0, 8.0, 19.0, 15.0, 10.0, 27.0, 16.0, 2.0, 14.0, 4.0, 14.0, 2.0, 2.0, 14.0, 3.0, 2.0, 76.0, 40.0, 276.0, 2.0, 8.0, 1.0, 3.0, 1.0, 4077.0, 72.0, 76.0, 574.0, 9.0, 138.0, 21.0, 28.0, 203.0, 33.0, 75.0, 41.0, 14.0, 16.0, 3661.0, 61.0, 34.0, 43.0, 3.0, 10.0, 11.0, 13.0, 36.0, 16.0, 21.0, 16.0, 6.0
2023/02/15/00:36:02.038909,3239738,1676381762,38686424,,13.0, 38.0, 25.0, 3.0, 7.0, 8.0, 20.0, 30.0, 88.0, 31.0, 5.0, 5.0, 1.0, 125.0, 8.0, 19.0, 16.0, 10.0, 27.0, 15.0, 2.0, 13.0, 4.0, 14.0, 2.0, 2.0, 16.0, 3.0, 2.0, 75.0, 41.0, 276.0, 2.0, 8.0, 1.0, 3.0, 1.0, 4079.0, 72.0, 76.0, 576.0, 8.0, 138.0, 21.0, 28.0, 202.0, 32.0, 74.0, 40.0, 14.0, 16.0, 3660.0, 60.0, 34.0, 42.0, 3.0, 10.0, 11.0, 12.0, 36.0, 16.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.039705,3239739,1676381762,39664474,,12.0, 37.0, 25.0, 3.0, 7.0, 8.0, 19.0, 30.0, 90.0, 30.0, 5.0, 5.0, 2.0, 125.0, 8.0, 19.0, 15.0, 10.0, 26.0, 16.0, 3.0, 14.0, 4.0, 13.0, 2.0, 2.0, 14.0, 3.0, 2.0, 76.0, 40.0, 278.0, 2.0, 9.0, 1.0, 3.0, 1.0, 4079.0, 72.0, 76.0, 578.0, 8.0, 138.0, 21.0, 28.0, 202.0, 32.0, 74.0, 41.0, 14.0, 16.0, 3660.0, 60.0, 34.0, 42.0, 3.0, 10.0, 11.0, 13.0, 36.0, 15.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.040702,3239740,1676381762,40667199,,12.0, 38.0, 25.0, 4.0, 7.0, 7.0, 20.0, 30.0, 88.0, 30.0, 6.0, 6.0, 1.0, 124.0, 8.0, 19.0, 14.0, 10.0, 26.0, 16.0, 2.0, 14.0, 4.0, 13.0, 2.0, 2.0, 14.0, 3.0, 2.0, 77.0, 39.0, 277.0, 2.0, 9.0, 1.0, 3.0, 1.0, 4078.0, 72.0, 75.0, 581.0, 8.0, 138.0, 21.0, 28.0, 202.0, 33.0, 75.0, 41.0, 16.0, 16.0, 3659.0, 62.0, 34.0, 42.0, 3.0, 10.0, 11.0, 13.0, 35.0, 16.0, 21.0, 16.0, 6.0
2023/02/15/00:36:02.041708,3239741,1676381762,41672239,,14.0, 37.0, 25.0, 4.0, 6.0, 8.0, 20.0, 30.0, 88.0, 30.0, 6.0, 5.0, 2.0, 125.0, 8.0, 19.0, 15.0, 10.0, 27.0, 15.0, 2.0, 14.0, 4.0, 14.0, 2.0, 2.0, 14.0, 3.0, 2.0, 75.0, 39.0, 276.0, 2.0, 10.0, 0.0, 3.0, 1.0, 4079.0, 74.0, 76.0, 588.0, 8.0, 138.0, 22.0, 29.0, 203.0, 32.0, 75.0, 42.0, 16.0, 16.0, 3659.0, 61.0, 34.0, 42.0, 3.0, 10.0, 11.0, 13.0, 36.0, 16.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.042705,3239742,1676381762,42663783,,14.0, 37.0, 25.0, 3.0, 6.0, 8.0, 20.0, 30.0, 88.0, 30.0, 5.0, 6.0, 0.0, 125.0, 8.0, 19.0, 16.0, 10.0, 27.0, 16.0, 2.0, 13.0, 4.0, 14.0, 2.0, 2.0, 14.0, 3.0, 2.0, 76.0, 39.0, 276.0, 2.0, 9.0, 1.0, 3.0, 1.0, 4079.0, 71.0, 75.0, 589.0, 8.0, 138.0, 21.0, 28.0, 203.0, 32.0, 73.0, 40.0, 16.0, 16.0, 3659.0, 62.0, 34.0, 42.0, 3.0, 10.0, 9.0, 13.0, 36.0, 16.0, 21.0, 16.0, 7.0
2023/02/15/00:36:02.043728,3239743,1676381762,43678763,,13.0, 38.0, 25.0, 3.0, 8.0, 8.0, 20.0, 31.0, 87.0, 32.0, 5.0, 5.0, 2.0, 125.0, 8.0, 20.0, 16.0, 10.0, 28.0, 16.0, 2.0, 13.0, 4.0, 13.0, 2.0, 2.0, 14.0, 4.0, 2.0, 77.0, 38.0, 276.0, 2.0, 10.0, 1.0, 3.0, 1.0, 4079.0, 72.0, 76.0, 592.0, 8.0, 138.0, 20.0, 28.0, 203.0, 33.0, 75.0, 40.0, 16.0, 16.0, 3662.0, 61.0, 34.0, 42.0, 3.0, 10.0, 10.0, 13.0, 35.0, 16.0, 21.0, 15.0, 6.0
2023/02/15/00:36:02.044716,3239744,1676381762,44675549,,12.0, 37.0, 24.0, 3.0, 7.0, 8.0, 20.0, 31.0, 86.0, 29.0, 5.0, 5.0, 2.0, 124.0, 8.0, 19.0, 16.0, 10.0, 28.0, 14.0, 2.0, 14.0, 5.0, 13.0, 2.0, 2.0, 14.0, 3.0, 2.0, 75.0, 38.0, 277.0, 2.0, 9.0, 1.0, 2.0, 1.0, 4079.0, 71.0, 76.0, 596.0, 8.0, 138.0, 20.0, 29.0, 203.0, 32.0, 74.0, 44.0, 16.0, 16.0, 3662.0, 61.0, 34.0, 42.0, 3.0, 10.0, 11.0, 12.0, 36.0, 16.0, 20.0, 16.0, 6.0
2023/02/15/00:36:02.045945,3239745,1676381762,45688633,,14.0, 37.0, 24.0, 3.0, 7.0, 8.0, 18.0, 30.0, 88.0, 29.0, 5.0, 5.0, 2.0, 124.0, 8.0, 19.0, 15.0, 9.0, 27.0, 14.0, 2.0, 13.0, 4.0, 13.0, 2.0, 2.0, 14.0, 3.0, 2.0, 75.0, 37.0, 277.0, 2.0, 10.0, 1.0, 6.0, 1.0, 4079.0, 72.0, 76.0, 600.0, 8.0, 138.0, 20.0, 28.0, 202.0, 32.0, 75.0, 41.0, 15.0, 15.0, 3662.0, 61.0, 34.0, 42.0, 3.0, 10.0, 10.0, 13.0, 35.0, 16.0, 22.0, 16.0, 6.0
